mode,accuracy,invalid_rate,mean_latency_ms,n,ece,brier
baseline,0.04,0.0036363636363636364,9943.407272727272,550,0.96,0.96
improved,0.056363636363636366,0.0018181818181818182,10882.863636363636,550,0.5509,0.4164
standard,0.05454545454545454,0.0018181818181818182,39120.545454545456,550,0.8782,0.8445
